page,clicks,impressions,ctr,position
https://www.kotacom.id/rakit-pc-1-jutaan-di-2025-realistis-atau-mustahil,22,4010,0.005486284289276808,8.031920199501247
https://www.kotacom.id/jasa-install-dan-update-windows-10-surabaya-murah,21,4013,0.00523299277348617,32.01146274607525
https://www.kotacom.id/jasa-sewa-laptop-surabaya,21,3619,0.005802707930367505,47.65846919038408
https://www.kotacom.id/service-komputer-surabaya-panggilan,21,6114,0.0034347399411187437,22.056754988550868
https://www.kotacom.id/sewa-karaoke-surabaya-gresik-malang-sidoarjo-pacet-trawas-jawatimur,21,886,0.023702031602708805,29.844243792325056
https://www.kotacom.id/jasa-install-windows-11-sidoarjo,20,1129,0.01771479185119575,25.088573959255978
https://www.kotacom.id/jasa-install-windows-11-surabaya,20,1125,0.017777777777777778,21.403555555555556
https://www.kotacom.id/jasa-install-ulang-windows-10-surabaya-panggilan,19,1468,0.012942779291553134,19.095367847411445
https://www.kotacom.id/rakit-pc-10-jutaan-2025-dominasi-gaming-1440p-produktivitas,19,1406,0.013513513513513514,18.893314366998577
https://www.kotacom.id/isi-game-pc-surabaya,18,518,0.03474903474903475,12.876447876447877
https://www.kotacom.id/jasa-install-windows-7-8-10-11-sidoarjo,18,895,0.02011173184357542,33.502793296089386
https://www.kotacom.id/rakit-pc-6-jutaan-2025-mesin-gaming-1080p-high-setting-terbaik,18,694,0.025936599423631124,17.162824207492797
https://www.kotacom.id/terbaik-rakit-pc-4-jutaan-terbaik-2025,18,1424,0.012640449438202247,13.174157303370787
https://www.kotacom.id/jasa-instal-software-surabaya-windows-macbook,16,1205,0.013278008298755186,33.75186721991701
https://www.kotacom.id/jasa-install-ulang-windows-8-8-1-surabaya,16,3943,0.004057823991884352,18.76692873446614
https://www.kotacom.id/jasa-service-komputer-laptop-notebook-macbook-surabaya,16,1248,0.01282051282051282,20.165064102564102
https://www.kotacom.id/rakit-pc-gaming-fullset-10-jutaan,16,1822,0.008781558726673985,19.527991218441272
https://www.kotacom.id/jasa-cetak-buku-sidoarjo,15,453,0.033112582781456956,10.434878587196469
https://www.kotacom.id/jasa-rakit-pc-unbk-server-client-terbaik-termurah,15,2647,0.0056667925953910086,23.339629769550434
https://www.kotacom.id/jasa-install-autocad-2010-2013-2016-surabaya-sidoarjo,14,322,0.043478260869565216,34.43478260869565
https://www.kotacom.id/jasa-install-game-pc-laptop-xbox-ps3-ps4-lengkap-dan-update-jasa-install-game-pc-laptop-xbox-ps3-ps4-surabaya-sidoarjo,14,844,0.016587677725118485,15.072274881516588
https://www.kotacom.id/jasa-install-microsoft-office-cepat-dan-bergaransi,14,1511,0.009265387160820648,12.131039046988748
https://www.kotacom.id/jasa-service-macbook-surabaya-bisa-ditunggu,14,3599,0.003889969435954432,20.543206446235065
https://www.kotacom.id/jasa-upgrade-ssd-laptop-surabaya-mac-imac-sidoarjo-malang-gresik,14,1234,0.011345218800648298,28.602106969205835
https://www.kotacom.id/printer-gagal-menarik-kertas-ini-5-penyebab-dan-cara-mengatasinya,14,2712,0.005162241887905605,6.532817109144543
https://www.kotacom.id/rekomendasi-pc-rakitan-1-jutaan,14,4218,0.003319108582266477,29.491465149359886
https://www.kotacom.id/hubungi-kami,13,436,0.02981651376146789,18.545871559633028
https://www.kotacom.id/jasa-install-game-surabaya,13,373,0.03485254691689008,15.206434316353887
https://www.kotacom.id/jasa-install-solidworks,12,333,0.036036036036036036,8.723723723723722
https://www.kotacom.id/jasa-pasang-ac-surabaya-bergaransi-professional-jawa-timur,12,4140,0.002898550724637681,41.71183574879227
https://www.kotacom.id/jasa-pasang-software-kasir-minimarket-point-of-sales-surabaya,12,1099,0.01091901728844404,23.101000909918106
https://www.kotacom.id/jual-dvd-windows-7-8-1-10-pro-original-license-asli-microsoft,12,461,0.026030368763557483,22.806941431670282
https://www.kotacom.id/rakit-pc-gaming-5-jutaan-fullset,12,1577,0.007609384908053266,21.00126823081801
https://www.kotacom.id/no-1-jual-game-pc-kebumen,12,204,0.058823529411764705,11.254901960784315
https://www.kotacom.id/jasa-cetak-buku-mojokerto,11,597,0.018425460636515914,23.74539363484087
https://www.kotacom.id/jasa-install-software-corel-draw-terbaru-x5-x6-x7-x8-surabaya-full-panggilan,11,232,0.04741379310344827,19.271551724137932
https://www.kotacom.id/no-1-jual-game-pc-bekasi,11,135,0.08148148148148149,10.266666666666667
https://www.kotacom.id/rekomendasi-jual-game-pc-cilegon,11,341,0.03225806451612903,20.24633431085044
https://www.kotacom.id/jasa-instal-game-pes-2017-terbaru-surabaya-sidoarjo,10,202,0.04950495049504951,19.806930693069308
https://www.kotacom.id/jasa-pembuatan-website-surabaya,10,11038,0.000905961224859576,67.58914658452618
https://www.kotacom.id/no-1-jual-game-pc-purwakarta,10,203,0.04926108374384237,9.394088669950738
https://www.kotacom.id/panduan-lengkap-cara-menyiapkan-file-pdf-siap-cetak-untuk-buku,10,772,0.012953367875647668,6.910621761658031
https://www.kotacom.id/rekomendasi-jual-game-pc-jember,10,240,0.041666666666666664,9.133333333333333
https://www.kotacom.id/terbaik-jual-game-pc-malang,10,344,0.029069767441860465,9.029069767441861
https://www.kotacom.id/terbaik-jual-game-pc-tangerang-selatan,10,496,0.020161290322580645,13.574596774193548
