Path,Status,GSC_URL,Clicks,Impressions,Redirect_Destination
"/jasa-install-macbook-bootcamp-surabaya","Both","https://www.kotacom.id/jasa-install-macbook-bootcamp-surabaya","43","1294",""
"/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo","Both","https://www.kotacom.id/jasa-rakit-pc-surabaya-gresik-malang-sidoarjo","43","3596",""
"/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran","Both","https://www.kotacom.id/rekomendasi-pc-5-jutaan-terbaik-2025-untuk-desain-grafis-maksimal-produktivitas-minimal-anggaran","39","1992",""
"/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru","GSC Only","https://www.kotacom.id/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru","38","929",""
"/it-services/jasa-install-game-dan-isi-game-surabaya","GSC Only","https://www.kotacom.id/it-services/jasa-install-game-dan-isi-game-surabaya","35","568",""
"/jasa-cetak-buku-dari-pdf-surabaya","Both","https://www.kotacom.id/jasa-cetak-buku-dari-pdf-surabaya","33","1103","/"
"/service-hp-surabaya-service-android-surabaya","Both","https://www.kotacom.id/service-hp-surabaya-service-android-surabaya","32","1683",""
"/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos","Both","https://www.kotacom.id/download-custom-rom-s10-plus-romofficial-lineageos-20-for-galaxy-s10e-s10-s10-s10-5g-exynos","31","779",""
"/tempat-isi-game-pc-surabaya","Both","https://www.kotacom.id/tempat-isi-game-pc-surabaya","31","482",""
"/jasa-install-software-microsoft-office","Both","https://www.kotacom.id/jasa-install-software-microsoft-office","30","1905",""
"/jasa-install-autocad","Both","https://www.kotacom.id/jasa-install-autocad","29","790",""
"/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo","Both","https://www.kotacom.id/jasa-isi-laptop-komputer-hardisk-lagu-karaoke-surabaya-sidoarjo","29","902",""
"/terbaik-jual-game-pc-cirebon","Both","https://www.kotacom.id/terbaik-jual-game-pc-cirebon","29","603",""
