page,oldPath,clicks,impressions,priorityScore,seoPriorityAction,migrationAction,suggestedTargetPath,legacyType,mappingConfidence,verdict,indexingState,coverageState,inspectionError,statusCode,title,metaDescription,canonical,robots,metadataIssues,fetchError,readiness
https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-bojonegoro,/product-tag/jual-pc-rakitan-murah-bojonegoro,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-sampang,/product-tag/jual-pc-rakitan-murah-sampang,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-lumajang,/tag/jasa-recovery-data-laptop-murah-lumajang,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jual-game-steam-surabaya,/tag/jual-game-steam-surabaya,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jual-komputer-rakitan-murah-tuban,/tag/jual-komputer-rakitan-murah-tuban,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jual-pc-rakitan-murah-bondowoso,/tag/jual-pc-rakitan-murah-bondowoso,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/pasang-karaoke-murah-sumenep,/tag/pasang-karaoke-murah-sumenep,0,2,14.91,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-tag/jual-komputer-rakitan-banyuwangi/page/2,/product-tag/jual-komputer-rakitan-banyuwangi/page/2,0,7,14.9,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/service-laptop-murah-lamongan,/tag/service-laptop-murah-lamongan,0,7,14.9,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product/pc-rakitan-core-i7-4gb-500gb-lengkap-keyboard-mouse,/product/pc-rakitan-core-i7-4gb-500gb-lengkap-keyboard-mouse,0,3,14.87,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
